"A","BILANCA ODHODKOV","",""
"07","OBRAMBA IN UKREPI OB IZREDNIH DOGODKIH","56807705 64653858 55188882 97,2 85,4",""
"0701","Splošne in skupne funkcije","56807705 64653858 55188882 97,2 85,4",""
"07011901","Urejanje skupnih funkcij na področju obrambe","42423497 42627200 40401662 95,2 94,8",""
"07011903","Mednarodno sodelovanje","7869542 7869542 6910893 87,8 87,8",""
"07011904","Upravljanje z državnim premoženjem SPU/PU/PPP/GPR/PPR","6514666 14157116 7876326 120,9 55,6",""
"1912","Uprava RS za zaščito in reševanje","32101739 35499524 32844487 102,3 92,5",""
"07","OBRAMBA IN UKREPI OB IZREDNIH DOGODKIH","32101739 35499524 32844487 102,3 92,5",""
"0703","Varstvo pred naravnimi in drugimi nesrečami","32101739 35499524 32844487 102,3 92,5",""
"07031904","Mednarodno sodelovanje","649736 702531 670059 103,1 95,4",""
"07031905","Pripravljenost sistema za zaščito, reševanje in pomoč","18831058 18976663 18725324 99,4 98,7",""
"07031906","Delovanje sistema za zaščito, reševanje in pomoč","12620945 15820331 13449104 106,6 85,0",""
"1913","Inšpektorat RS za varstvo pred naravnimi in drugimi nesrečami","2578290 2578290 2545560 98,7 98,7",""
"07","OBRAMBA IN UKREPI OB IZREDNIH DOGODKIH","2578290 2578290 2545560 98,7 98,7",""
"0703","Varstvo pred naravnimi in drugimi nesrečami","2578290 2578290 2545560 98,7 98,7",""
"07031907","Nadzor delovanja sistema varstva pred naravnimi in drugimi nesrečami","2578290 2578290 2545560 98,7 98,7",""
"1914","Generalštab Slovenske vojske","406966254 461428486 453365113 111,4 98,3",""
"07","OBRAMBA IN UKREPI OB IZREDNIH DOGODKIH","406966254 461428486 453365113 111,4 98,3",""
"0702","Vojaška obramba in nacionalna varnost","406966254 461428486 453365113 111,4 98,3",""
"07021903","Zagotavljanje kadrovske pripravljenosti","264247381 264247381 260230929 98,5 98,5",""
"07021904","Operativno delovanje in vzdrževanje pripravljenosti","74787485 74719777 72308133 96,7 96,8",""
"07021905","Zagotavljanje oborožitvenih in infrastrukturnih zmogljivosti","60467648 114997588 113418472 187,6 98,6",""
"07021906","Finančna podpora organizacijam posebnega pomena za obrambo","7463740 7463740 7407579 99,3 99,3",""
"1915","Inšpektorat RS za obrambo","972162 940837 928012 95,5 98,6",""
"07","OBRAMBA IN UKREPI OB IZREDNIH DOGODKIH","972162 940837 928012 95,5 98,6",""
"0701","Splošne in skupne funkcije","972162 940837 928012 95,5 98,6",""
"07011901","Urejanje skupnih funkcij na področju obrambe","972162 940837 928012 95,5 98,6",""
"2011","Ministrstvo za pravosodje","23888256 23213664 20611319 86,3 88,8",""
"02","EKONOMSKA IN FISKALNA ADMINISTRACIJA","16425 16425 12577 76,6 76,6",""
"0205","Privatizacija in nadzor","16425 16425 12577 76,6 76,6",""
"02052001","Denacionalizacija","16425 16425 12577 76,6 76,6",""
"09","PRAVOSODJE","23847014 23172422 20582415 86,3 88,8",""
"0901","Koordinacija pravosodja in splošne administrativne zadeve","23847014 23172422 20582415 86,3 88,8",""
"09012001","Urejanje področja pravosodja","7789976 8112226 7863482 100,9 96,9",""
"09012002","Splošne storitve za pravosodne organe","14401361 13435974 11380413 79,0 84,7",""
"09012003","Oblikovanje in izvajanje politike v pravosodju","128000 128000 83295 65,1 65,1",""
"09012004","Strokovno izpopolnjevanje v pravosodju","931178 961832 789787 84,8 82,1",""
"09012006","Mednarodno pravno sodelovanje","596500 534389 465438 78,0 87,1",""
"19","IZOBRAŽEVANJE","24817 24817 16328 65,8 65,8",""
"1906","Pomoči šolajočim","24817 24817 16328 65,8 65,8",""
"19062001","Štipendije za študij prava","24817 24817 16328 65,8 65,8",""
"2020","Uprava RS za izvrševanje kazenskih sankcij","38270073 44538588 43635290 114,0 98,0",""
"09","PRAVOSODJE","36855793 41124308 40308169 109,4 98,0",""
"0904","Uprava in delovanje zaporov","36855793 41124308 40308169 109,4 98,0",""
"09042001","Delovanje uprave za izvrševanje kazenskih sankcij","36855793 41124308 40308169 109,4 98,0",""
"20","SOCIALNO VARSTVO","1414280 3414280 3327122 235,3 97,5",""
"2003","Posebni programi pomoči prebivalstvu","1414280 3414280 3327122 235,3 97,5",""
"20032001","Socialno varstvo obsojencev","1414280 3414280 3327122 235,3 97,5",""
"2111","Ministrstvo za gospodarstvo","244439350 235005445 206319788 84,4 87,8",""
"02","EKONOMSKA IN FISKALNA ADMINISTRACIJA","200000 200000 82309 41,2 41,2",""
"0205","Privatizacija in nadzor","200000 200000 82309 41,2 41,2",""
"02052101","Program privatizacije in upravljanje z državnim premoženjem","200000 200000 82309 41,2 41,2",""
"03","ZUNANJA POLITIKA IN MEDNARODNA POMOČ","419465 419465 419004 99,9 99,9",""
"0303","Mednarodna pomoč","419465 419465 419004 99,9 99,9",""
"03032101","Razvojna in humanitarna pomoč","419465 419465 419004 99,9 99,9",""
"05","ZNANOST IN TEHNOLOŠKI RAZVOJ","76599612 79629689 78176727 102,1 98,2",""
"0504","Tehnološki razvoj","76599612 79629689 78176727 102,1 98,2",""
"05042101","Programi pospeševanja tehnološkega razvoja gospodarstva","76599612 79629689 78176727 102,1 98,2",""
"12","PRIDOBIVANJE IN DISTRIBUCIJA ENERGETSKIH SUROVIN","34687083 33450899 22899336 66,0 68,5",""
