"","A Bilanca odhodkov","9652121502",""
"09010102","Trajnostna raba voda in upravljanje z njimi","306569",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","37246856",""
"1301","Obramba in zaščita","36935914",""
"130102","Varstvo pred naravnimi in drugimi nesrečami","36935914",""
"13010203","Delovanje reševalnih služb in sestavov (komisije, enote in štabi CZ) in ocenjevanja škode  po naravnih in drugih nesrečah","386180",""
"13010204","Informacijski in komunikacijski sistem na področju VNDN","3019814",""
"13010205","Izobraževanje in usposabljanje, preverjanje usposobljenosti pripadnikov sil za ZRP  ter izvajanje seznanitev prebivalcev s temami s področja ZiR","2657606",""
"13010207","Oblikovanje in vzdrževanje državnih rezerv materialnih sredstev in opremljanje štabov, enot in služb civilne zaščite na ravni države","1582974",""
"13010209","Preventivna dejavnost","628719",""
"13010212","Odzivnost in delovanje reševalnih enot","6992536",""
"13010213","Zagotavljanje materialnih in kadrovskih virov za delovanje sistema VNDN","10490614",""
"13010214","Zagotavljanje VNDN na mednarodni ravni","1177471",""
"13010215","Požarni sklad","10000000",""
"1303","Zunanja politika","310942",""
"130303","Razvojno sodelovanje in humanitarna pomoč","310942",""
"13030308","Mednarodno razvojno sodelovanje","310942",""
"1913","Inšpektorat RS za varstvo pred naravnimi in drugimi nesrečami","2709830",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","2709830",""
"1301","Obramba in zaščita","2709830",""
"130102","Varstvo pred naravnimi in drugimi nesrečami","2709830",""
"13010206","Načrtovanje in izvedba inšpekcijskih nadzorov ter zagotavljanje pogojev za delovanje inšpektorata","2709830",""
"1914","Generalštab Slovenske vojske","363966094",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","363966094",""
"1301","Obramba in zaščita","363966094",""
"130101","Vojaška obramba","363966094",""
"13010101","Članstvo v mednarodnih organizacijah in sodelovanje z domačim okoljem","4993650",""
"13010102","Infrastruktura in opremljanje SV","32220486",""
"13010103","Operativno delovanje in pripravljenost SV","70660911",""
"13010104","Upravljanje, izobraževanje in oskrba kadrov","256091047",""
"1915","Inšpektorat RS za obrambo","886121",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","886121",""
"1301","Obramba in zaščita","886121",""
"130103","Upravljanje obrambnega sistema in krizno upravljanje","886121",""
"13010302","Nadzor na področju Obrambe in zaščite","886121",""
"20","MINISTRSTVO ZA PRAVOSODJE","65303602",""
"2011","Ministrstvo za pravosodje","25255594",""
"04","IZOBRAŽEVANJE IN ŠPORT","16410",""
